id;nombre;descripcion;puntos
1;parsing Investment Account;Branding Dynamic black;6936
2;Fantastic;Ergonomic Rubber Chicken;33655
3;withdrawal;quantifying Garden;81446
4;hybrid;Solomon Islands Dollar;34833
5;Accountability Handmade Cotton Bacon;intermediate Table quantify;80683
6;Producer infrastructures;Robust Louisiana;86711
7;Texas Managed Dobra;compress Fantastic Global;50525
8;navigating encoding;Fantastic Small Frozen Salad bypassing;35490
9;Usability;Applications Missouri deposit;44844
10;methodical;Pakistan;21272
